,teamID,ACC,AGI,ARM,Att,Avg,END,G,HND,INT,KAc,KDi,L,Lg,Name,OVR,PA,PBl,PF,Player,Position,RBl,S,SPE,STR,T,TCK,TD,Team,W,WPct,Yards
0,1,80,50,75,20,0.4,50,14,15,70,1,1,10,5,"Kyubee, S.",75,330,1,254,"Kyubee, S.",QB,1,1,58,35,0,15,1,BAL,4,0.28600000000000003,7
1,1,15,70,15,228,3.6,66,14,61,51,1,1,10,16,"Robinson, M.",71,330,27,254,"Robinson, M.",RB,22,1,73,67,0,20,3,BAL,4,0.28600000000000003,813
2,1,15,61,15,157,3.5,70,14,55,53,1,1,10,12,"Novel, L.",67,330,25,254,"Novel, L.",RB,25,1,72,66,0,20,6,BAL,4,0.28600000000000003,549
3,2,17,63,17,277,4.4,66,14,60,63,3,3,6,38,"Nuck, B.",69,225,24,256,"Nuck, B.",RB,22,1,80,51,0,22,6,YKW,8,0.5710000000000001,1217
4,2,80,45,72,6,0.2,50,14,15,80,1,1,6,1,"Orosz, C.",75,225,1,256,"Orosz, C.",QB,1,1,40,35,0,15,0,YKW,8,0.5710000000000001,1
5,2,15,65,15,12,3.8,65,13,70,40,1,1,6,8,"Tobin, T.",65,225,25,256,"Tobin, T.",RB,20,1,70,50,0,20,1,YKW,8,0.5710000000000001,45
6,2,1,46,1,2,0.0,65,14,60,57,1,1,6,0,"Larsendorf, R.",58,225,50,256,"Larsendorf, R.",TE,50,1,50,50,0,30,0,YKW,8,0.5710000000000001,0
7,2,15,50,15,62,3.4,72,14,50,40,1,1,6,16,"Stats, J.",61,225,20,256,"Stats, J.",RB,25,1,70,70,0,20,2,YKW,8,0.5710000000000001,208
8,3,15,70,15,147,3.7,66,14,50,50,1,1,6,18,"Tweed, B.",73,253,22,250,"Tweed, B.",RB,22,1,83,70,0,22,1,COL,8,0.5710000000000001,547
9,3,15,70,15,167,3.6,71,14,50,50,1,1,6,14,"O'Connell, K.",71,253,35,250,"O'Connell, K.",RB,27,1,76,70,0,22,6,COL,8,0.5710000000000001,599
10,3,15,55,15,107,3.7,70,14,56,34,1,1,6,13,"Tiernan, L.",69,253,22,250,"Tiernan, L.",RB,27,1,80,80,0,22,3,COL,8,0.5710000000000001,391
11,3,80,52,80,16,1.2,50,14,17,73,3,3,6,6,"Noble, L.",78,253,3,250,"Noble, L.",QB,3,1,60,38,0,17,0,COL,8,0.5710000000000001,19
12,4,15,70,15,149,4.1,70,14,60,30,1,1,5,16,"Durden, J.",70,204,20,277,"Durden, J.",RB,20,1,80,60,0,20,4,ARI,9,0.643,613
13,4,80,42,75,12,0.6,42,14,15,71,1,1,5,7,"Draxel, V.",73,204,1,277,"Draxel, V.",QB,1,1,42,35,0,15,0,ARI,9,0.643,7
14,4,15,60,15,1,0.0,70,13,40,30,1,1,5,0,"Bessel, F.",59,204,20,277,"Bessel, F.",RB,25,1,65,70,0,20,0,ARI,9,0.643,0
15,4,15,70,15,142,4.4,66,14,42,32,1,1,5,33,"Mackworthy, R.",70,204,22,277,"Mackworthy, R.",RB,22,1,85,68,0,20,1,ARI,9,0.643,630
16,4,15,70,15,126,3.3,70,14,50,32,1,1,5,17,"Newman, M.",65,204,20,277,"Newman, M.",RB,20,1,73,56,0,20,2,ARI,9,0.643,411
